127.0.0.1 - - [31/Mar/2017:08:47:45 +0200] "GET / HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/inscription HTTP/1.1" 200 3110
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/css/page/inscription.css HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/css/global/global.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/fonts/titilium/titillium.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/fonts/titilium/TitilliumWeb-Regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/fonts/titilium/TitilliumWeb-Light.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/fonts/titilium/TitilliumWeb-Thin.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/fonts/titilium/TitilliumWeb-SemiBold.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/fonts/titilium/TitilliumWeb-Black.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2017:08:47:46 +0200] "GET /marquise/fonts/titilium/TitilliumWeb-Bold.woff HTTP/1.1" 304 -
